id,indexCode,indexName,description,sectorMaster,activeStatus,keyIndexFlag,baseYearMarketCapitalization
51,BANKSUBIND,Banking SubIndex,Index of All the Listed Commercial Banks,"{'id': 37, 'sectorDescription': 'Commercial Banks', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,77149.7468
52,HOTELIND,Hotels And Tourism Index,All the companies Listed in Hotels Group,"{'id': 39, 'sectorDescription': 'Hotels And Tourism', 'activeStatus': 'A', 'regulatoryBody': 'Ministry of Tourism'}",A,N,1731.2836
53,OTHERSIND,Others Index,All the companies Listed in Others  Group,"{'id': 40, 'sectorDescription': 'Others', 'activeStatus': 'A', 'regulatoryBody': 'N/A'}",A,N,16655.7339
54,HYDPOWIND,HydroPower Index,All the companies listed in Hydropower Group,"{'id': 41, 'sectorDescription': 'Hydro Power', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Hydropower Board'}",A,N,14397.5686
55,DEVBANKIND,Development Bank Index,Index of  the listed development Banks,"{'id': 44, 'sectorDescription': 'Development Banks', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,3666.4364
56,MANPROCIND,Manufacturing And Processing,Manufacturing and Processing Index,"{'id': 38, 'sectorDescription': 'Manufacturing And Processing', 'activeStatus': 'A', 'regulatoryBody': 'Department of Industry'}",A,N,2425.9019
57,SENSIND,Sensitive Index,Sensitive Index,"{'id': 51, 'sectorDescription': 'ALL', 'activeStatus': 'A', 'regulatoryBody': 'N/A'}",A,N,301966.3652
58,NEPSE,NEPSE Index,All Equity Index,"{'id': 51, 'sectorDescription': 'ALL', 'activeStatus': 'A', 'regulatoryBody': 'N/A'}",A,Y,143843.9505
59,NONLIFIND,Non Life Insurance,All Non Life Insurance Index,"{'id': 43, 'sectorDescription': 'Non Life Insurance', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Insurance Board'}",A,N,1907.6141
60,FININD,Finance Index,Index of Finance Companies,"{'id': 45, 'sectorDescription': 'Finance', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,3202.7004
61,TRDIND,Trading Index,All Trading Companies,"{'id': 42, 'sectorDescription': 'Tradings', 'activeStatus': 'A', 'regulatoryBody': 'Department of Industry'}",A,N,582.072
62,FLOATIND,Float Index,All Float Index,"{'id': 51, 'sectorDescription': 'ALL', 'activeStatus': 'A', 'regulatoryBody': 'N/A'}",A,N,870839.1946
63,SENSFLTIND,Sensitive Float Index,All Sensitive Float Index,"{'id': 51, 'sectorDescription': 'ALL', 'activeStatus': 'A', 'regulatoryBody': 'N/A'}",A,N,351195.3374
64,MICRFININD,Microfinance Index,all microfinance company index,"{'id': 49, 'sectorDescription': 'Microfinance', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,7497.0927
65,LIFINSIND,Life Insurance,All Life Insurance Index,"{'id': 50, 'sectorDescription': 'Life Insurance', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Insurance Board'}",A,N,2204.8856
66,MUTUALIND,Mutual Fund,All Mutual Fund Index,"{'id': 46, 'sectorDescription': 'Mutual Fund', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,21114.7452
67,INVIDX,Investment Index,All Investment Index,"{'id': 52, 'sectorDescription': 'Investment', 'activeStatus': 'A', 'regulatoryBody': 'Nepal Rastra Bank'}",A,N,305812.1524
